index,Energy_Project_Node_Name,Energy_Project_Type,Capacity (MW),Status,Country,Capacity (Mtpa),Nominal crude steel capacity (ttpa)
EP0,48th Street power station 9,Gas or Oil Plant,84.0,operating,United States,,
EP1,491 E 48th Street power station 9,Gas or Oil Plant,83.5,operating,United States,,
EP2,6 October power plant 1,Gas or Oil Plant,150.0,operating,Egypt,,
EP3,6 October power plant 2,Gas or Oil Plant,150.0,operating,Egypt,,
EP4,6 October power plant 3,Gas or Oil Plant,150.0,operating,Egypt,,
EP5,6 October power plant 4,Gas or Oil Plant,150.0,operating,Egypt,,
EP6,6 October power plant CC1,Gas or Oil Plant,918.7,operating,Egypt,,
EP7,9 de Julio power station 23,Gas or Oil Plant,50.0,operating,Argentina,,
EP8,9 de Julio power station 24,Gas or Oil Plant,50.0,operating,Argentina,,
EP9,9 de Julio power station MG,Gas or Oil Plant,50.0,announced,Argentina,,
EP10,Aalen power station CC,Gas or Oil Plant,77.0,operating,Germany,,
EP11,Aalst Syral power station 1,Gas or Oil Plant,48.0,operating,Belgium,,
EP12,Abadan power station CC,Gas or Oil Plant,814.0,operating,Iran,,
EP13,Abadan State power station 2-1,Gas or Oil Plant,123.0,operating,Turkmenistan,,
EP14,Abadan State power station 2-2,Gas or Oil Plant,123.0,operating,Turkmenistan,,
EP15,Abasto II power station 1,Gas or Oil Plant,208.0,announced,Argentina,,
EP16,Abasto I power station 1,Gas or Oil Plant,242.0,announced,Argentina,,
EP17,A. B. Brown power station 4,Gas or Oil Plant,88.0,operating,United States,,
EP18,A. B. Brown power station 5,Gas or Oil Plant,88.0,operating,United States,,
EP19,A. B. Brown power station 6,Gas or Oil Plant,248.0,construction,United States,,
EP20,A. B. Brown power station 7,Gas or Oil Plant,248.0,construction,United States,,
EP21,Abdan Refinery No.3 power plant 1,Gas or Oil Plant,30.0,operating,Iran,,
EP22,Abdan Refinery No.3 power plant 2,Gas or Oil Plant,30.0,operating,Iran,,
EP23,Abdan Refinery No.3 power plant 3,Gas or Oil Plant,30.0,operating,Iran,,
EP24,Abdan Refinery No.3 power plant 4,Gas or Oil Plant,30.0,operating,Iran,,
EP25,Abdan Refinery No.3 power plant 5,Gas or Oil Plant,30.0,operating,Iran,,
EP26,Abdan Refinery No.3 power plant 6,Gas or Oil Plant,30.0,operating,Iran,,
EP27,Abdan Refinery No.3 power plant 7,Gas or Oil Plant,30.0,operating,Iran,,
EP28,Abdan Refinery No.4 power plant 1,Gas or Oil Plant,30.0,construction,Iran,,
EP29,Abdan Refinery No.4 power plant 2,Gas or Oil Plant,30.0,construction,Iran,,
EP30,Abdan Refinery No.4 power plant 3,Gas or Oil Plant,30.0,construction,Iran,,
EP31,Abent 3t power station 1,Gas or Oil Plant,266.0,operating,Mexico,,
EP32,Aberdeen power station 2,Gas or Oil Plant,82.0,operating,United States,,
EP33,Abergelli power station 1,Gas or Oil Plant,299.0,pre-construction,United Kingdom,,
EP34,Abfa Mobile power plant 1,Gas or Oil Plant,10.0,operating,Iran,,
EP35,Aboitiz Luzon LNG power station 1,Gas or Oil Plant,1200.0,pre-construction,Philippines,,
EP36,Aboño power station CC1,Gas or Oil Plant,494.0,pre-construction,Spain,,
EP37,Abqaiq cogeneration power station 1,Gas or Oil Plant,180.0,operating,Saudi Arabia,,
EP38,Abqaiq cogeneration power station 2,Gas or Oil Plant,180.0,operating,Saudi Arabia,,
EP39,Abuja power station 1,Gas or Oil Plant,450.0,construction,Nigeria,,
EP40,Abuja power station 2,Gas or Oil Plant,450.0,construction,Nigeria,,
EP41,Abuja power station 3,Gas or Oil Plant,450.0,construction,Nigeria,,
EP42,Abu Kammash Power Station 1,Gas or Oil Plant,15.0,operating,Libya,,
EP43,Abu Kammash Power Station 2,Gas or Oil Plant,15.0,operating,Libya,,
EP44,Abu Kammash Power Station 3,Gas or Oil Plant,15.0,operating,Libya,,
EP45,Abu Qir power plant 1,Gas or Oil Plant,150.0,operating,Egypt,,
EP46,Abu Qir power plant 2,Gas or Oil Plant,150.0,operating,Egypt,,
EP47,Abu Qir power plant 3,Gas or Oil Plant,150.0,operating,Egypt,,
EP48,Abu Qir power plant 4,Gas or Oil Plant,150.0,operating,Egypt,,
EP49,Abu Qir power plant 5,Gas or Oil Plant,311.0,operating,Egypt,,
EP50,Abu Qir power plant 6,Gas or Oil Plant,24.0,operating,Egypt,,
EP51,Abu Sultan power plant 1,Gas or Oil Plant,150.0,operating,Egypt,,
EP52,Abu Sultan power plant 2,Gas or Oil Plant,150.0,operating,Egypt,,
EP53,Abu Sultan power plant 3,Gas or Oil Plant,150.0,operating,Egypt,,
EP54,Abu Sultan power plant 4,Gas or Oil Plant,150.0,operating,Egypt,,
EP55,Acacia power station 1,Gas or Oil Plant,57.0,operating,South Africa,,
EP56,Acacia power station 2,Gas or Oil Plant,57.0,operating,South Africa,,
EP57,Acacia power station 3,Gas or Oil Plant,57.0,operating,South Africa,,
EP58,Acadia energy center PB01,Gas or Oil Plant,695.0,operating,United States,,
EP59,Acadia energy center PB02,Gas or Oil Plant,695.0,operating,United States,,
EP60,Aceca 3 power station 1,Gas or Oil Plant,386.0,operating,Spain,,
EP61,Aceca 4 power station 1,Gas or Oil Plant,373.0,operating,Spain,,
EP62,Ace Embilipitiya power station 1:14,Gas or Oil Plant,105.0,operating,Sri Lanka,,
EP63,Açominas power station 1,Gas or Oil Plant,103.0,operating,Brazil,,
EP64,Adamow power station GT1,Gas or Oil Plant,600.0,pre-construction,Poland,,
EP65,Adana power station 1,Gas or Oil Plant,131.0,operating,Türkiye,,
EP66,Aden power station 1-1,Gas or Oil Plant,132.0,operating,Yemen,,
EP67,Aden power station 1-2,Gas or Oil Plant,132.0,operating,Yemen,,
EP68,Aden power station 2,Gas or Oil Plant,236.0,announced,Yemen,,
EP69,Adler power station 1,Gas or Oil Plant,183.0,operating,Russia,,
EP70,Adler power station 2,Gas or Oil Plant,184.0,operating,Russia,,
EP71,Adolfo López Mateos power station 1,Gas or Oil Plant,350.0,operating,Mexico,,
EP72,Adolfo López Mateos power station 2,Gas or Oil Plant,350.0,operating,Mexico,,
EP73,Adolfo López Mateos power station 3,Gas or Oil Plant,350.0,operating,Mexico,,
EP74,Adolfo López Mateos power station 4,Gas or Oil Plant,350.0,operating,Mexico,,
EP75,Adolfo López Mateos power station 5,Gas or Oil Plant,350.0,operating,Mexico,,
EP76,Adolfo López Mateos power station 6,Gas or Oil Plant,350.0,operating,Mexico,,
EP77,AES Colón power station 1,Gas or Oil Plant,381.0,operating,Panama,,
EP78,"AES Greenidge power station Unit 4, timepoint 2",Gas or Oil Plant,115.0,operating,United States,,
EP79,AES Paraná power station 1,Gas or Oil Plant,870.0,operating,Argentina,,
EP80,Afam (FIPL) power station 1,Gas or Oil Plant,180.0,operating,Nigeria,,
EP81,Afam (FIPL) power station 2,Gas or Oil Plant,180.0,operating,Nigeria,,
EP82,Afam IV power station 1,Gas or Oil Plant,75.0,operating,Nigeria,,
EP83,Afam IV power station 2,Gas or Oil Plant,75.0,operating,Nigeria,,
EP84,Afam IV power station 3,Gas or Oil Plant,75.0,operating,Nigeria,,
EP85,Afam IV power station 4,Gas or Oil Plant,75.0,operating,Nigeria,,
EP86,Afam IV power station 5,Gas or Oil Plant,75.0,operating,Nigeria,,
EP87,Afam IV power station 6,Gas or Oil Plant,75.0,operating,Nigeria,,
EP88,Afam VI power station CC1,Gas or Oil Plant,650.0,operating,Nigeria,,
EP89,Afam V power station 1,Gas or Oil Plant,138.0,operating,Nigeria,,
EP90,Afam V power station 2,Gas or Oil Plant,138.0,operating,Nigeria,,
EP91,Afton generating station CC1,Gas or Oil Plant,287.0,operating,United States,,
EP92,Agartala power plant 1,Gas or Oil Plant,135.0,operating,India,,
EP93,AGGREKO Aurahati power station 1,Gas or Oil Plant,19.6,operating,Bangladesh,,
EP94,AGGREKO Aurahati power station 2,Gas or Oil Plant,87.3,operating,Bangladesh,,
EP95,AGGREKO Bramhangoan power station 1,Gas or Oil Plant,19.6,operating,Bangladesh,,
EP96,AGGREKO Bramhangoan power station 2,Gas or Oil Plant,87.3,operating,Bangladesh,,
EP97,Aghada power station AT 1,Gas or Oil Plant,90.0,operating,Ireland,,
EP98,Aghada power station AT 2,Gas or Oil Plant,90.0,operating,Ireland,,
EP99,Aghada power station AT 4,Gas or Oil Plant,90.0,operating,Ireland,,
EP100,Aghada power station Unit 2,Gas or Oil Plant,431.0,operating,Ireland,,
EP101,Agios Nikolaos power station CC,Gas or Oil Plant,444.0,operating,Greece,,
EP102,Agios Nikolaos power station CHP,Gas or Oil Plant,334.0,operating,Greece,,
EP103,Agios Nikolaos power station EXT,Gas or Oil Plant,826.0,operating,Greece,,
EP104,Agrekko Vridi power station 1-2,Gas or Oil Plant,100.0,operating,Côte d'Ivoire,,
EP105,Agrekko Vridi power station 3,Gas or Oil Plant,100.0,operating,Côte d'Ivoire,,
EP106,Agua Del Cajón power station 1,Gas or Oil Plant,672.0,operating,Argentina,,
EP107,Agua Fria power station AF1,Gas or Oil Plant,114.0,operating,United States,,
EP108,Agua Fria power station AF2,Gas or Oil Plant,114.0,operating,United States,,
EP109,Agua Fria power station AF3,Gas or Oil Plant,163.0,operating,United States,,
EP110,Agua Fria power station AF4,Gas or Oil Plant,81.0,operating,United States,,
EP111,Agua Fria power station AF5,Gas or Oil Plant,71.0,operating,United States,,
EP112,Agua Fria power station AF6,Gas or Oil Plant,71.0,operating,United States,,
EP113,Agua Fria power station AF7,Gas or Oil Plant,50.0,operating,United States,,
EP114,Agua Fria power station AF8,Gas or Oil Plant,50.0,operating,United States,,
EP115,Agua Mansa power plant AMP1,Gas or Oil Plant,61.0,operating,United States,,
EP116,Agua Prieta II power station 1,Gas or Oil Plant,409.0,operating,Mexico,,
EP117,Aguaytía power station TG1,Gas or Oil Plant,101.0,operating,Peru,,
EP118,Aguaytía power station TG2,Gas or Oil Plant,101.0,operating,Peru,,
EP119,Aguirre power station 1,Gas or Oil Plant,450.0,operating,United States,,
EP120,Aguirre power station 2,Gas or Oil Plant,450.0,operating,United States,,
EP121,Aguirre power station CC1,Gas or Oil Plant,296.0,operating,United States,,
EP122,Aguirre power station CC2,Gas or Oil Plant,296.0,operating,United States,,
EP123,Agura power station 1-1,Gas or Oil Plant,165.0,announced,Nigeria,,
EP124,Agura power station 1-2,Gas or Oil Plant,165.0,announced,Nigeria,,
EP125,Agura power station 2,Gas or Oil Plant,165.0,announced,Nigeria,,
EP126,Agura power station 3-1,Gas or Oil Plant,75.0,announced,Nigeria,,
EP127,Agura power station 3-2,Gas or Oil Plant,75.0,announced,Nigeria,,
EP128,Agura power station 3-3,Gas or Oil Plant,75.0,announced,Nigeria,,
EP129,Ahala power station IC,Gas or Oil Plant,60.0,operating,Cameroon,,
EP130,Ahlone power station 1,Gas or Oil Plant,151.5,operating,Myanmar,,
EP131,Ahlone (Toyo Thai) power station 1-1,Gas or Oil Plant,121.0,operating,Myanmar,,
EP132,Ahrensfelde power station A,Gas or Oil Plant,37.5,operating,Germany,,
EP133,Ahrensfelde power station B,Gas or Oil Plant,37.5,operating,Germany,,
EP134,Ahrensfelde power station C,Gas or Oil Plant,37.5,operating,Germany,,
EP135,Ahrensfelde power station D,Gas or Oil Plant,37.5,operating,Germany,,
EP136,Ain Arnet power plant 1,Gas or Oil Plant,338.0,operating,Algeria,,
EP137,Ain Arnet power plant 2,Gas or Oil Plant,338.0,operating,Algeria,,
EP138,Ain Arnet power plant 3,Gas or Oil Plant,338.0,operating,Algeria,,
EP139,Ain Beni Mathar power plant 1,Gas or Oil Plant,470.0,operating,Morocco,,
EP140,Ain Djasser power plant 1-1,Gas or Oil Plant,126.0,operating,Algeria,,
EP141,Ain Djasser power plant 1-2,Gas or Oil Plant,126.0,operating,Algeria,,
EP142,Ain Djasser power plant 2-1,Gas or Oil Plant,132.0,operating,Algeria,,
EP143,Ain Djasser power plant 2-2,Gas or Oil Plant,132.0,operating,Algeria,,
EP144,Ain Djasser power plant 3-1,Gas or Oil Plant,138.8,operating,Algeria,,
EP145,Ain Djasser power plant 3-2,Gas or Oil Plant,138.8,operating,Algeria,,
EP146,Ain Sokhna power plant 1,Gas or Oil Plant,650.0,operating,Egypt,,
EP147,Ain Sokhna power plant 2,Gas or Oil Plant,650.0,operating,Egypt,,
EP148,Air Liquide Scotford Complex power plant 1,Gas or Oil Plant,80.0,operating,Canada,,
EP149,Air Products Port Arthur power station SMR2,Gas or Oil Plant,78.0,operating,United States,,
EP150,Airturbine power station 1,Gas or Oil Plant,55.0,operating,Georgia,,
EP151,Airturbine power station 2,Gas or Oil Plant,55.0,operating,Georgia,,
EP152,Ajka power station 1,Gas or Oil Plant,57.0,operating,Hungary,,
EP153,Ajka power station 2,Gas or Oil Plant,57.0,operating,Hungary,,
EP154,A.J. Mihm Generating Station IC,Gas or Oil Plant,56.4,operating,United States,,
EP155,Akademicheskaya power station 1,Gas or Oil Plant,228.0,operating,Russia,,
EP156,Akaz power station 1,Gas or Oil Plant,125.0,operating,Iraq,,
EP157,Akaz power station 2,Gas or Oil Plant,125.0,operating,Iraq,,
EP158,Akaz power station ST,Gas or Oil Plant,125.0,pre-construction,Iraq,,
EP159,Akhal power station 1-1,Gas or Oil Plant,127.0,operating,Turkmenistan,,
EP160,Akhal power station 1-2,Gas or Oil Plant,127.0,operating,Turkmenistan,,
EP161,Akhal power station 2-1,Gas or Oil Plant,126.0,operating,Turkmenistan,,
EP162,Akhal power station 2-2,Gas or Oil Plant,126.0,operating,Turkmenistan,,
EP163,Akita Thermal power station 1,Gas or Oil Plant,600.0,operating,Japan,,
EP164,Ako power station 1,Gas or Oil Plant,600.0,operating,Japan,,
EP165,Ako power station 2,Gas or Oil Plant,600.0,operating,Japan,,
EP166,Aksa Akrilik power station 1,Gas or Oil Plant,45.0,operating,Türkiye,,
EP167,Aksa Antalya power station 2,Gas or Oil Plant,900.0,operating,Türkiye,,
EP168,Aksa Ghana HFO power plant 1,Gas or Oil Plant,370.0,operating,Ghana,,
EP169,Aktobe 2 power station 1,Gas or Oil Plant,250.0,announced,Kazakhstan,,
EP170,Aktobe 2 power station 2,Gas or Oil Plant,250.0,announced,Kazakhstan,,
EP171,Aktobe CHP power station 7,Gas or Oil Plant,57.0,operating,Kazakhstan,,
EP172,Akturbo power station 1,Gas or Oil Plant,135.0,operating,Kazakhstan,,
EP173,Akzo Mariager power station 1,Gas or Oil Plant,25.0,operating,Denmark,,
EP174,Akzo Obernburg power station 1,Gas or Oil Plant,116.0,operating,Germany,,
EP175,Akzo Salinco power station 1,Gas or Oil Plant,50.0,operating,Netherlands,,
EP176,Akzo Salinco power station 2,Gas or Oil Plant,50.0,operating,Netherlands,,
EP177,Álabe Villarrubia power station 1,Gas or Oil Plant,25.0,operating,Spain,,
EP178,Al Amarh power plant CC,Gas or Oil Plant,750.0,operating,Iraq,,
EP179,Alamitos energy center 3,Gas or Oil Plant,310.0,operating,United States,,
EP180,Alamitos energy center 4,Gas or Oil Plant,310.0,operating,United States,,
EP181,Alamitos energy center 5,Gas or Oil Plant,495.0,operating,United States,,
EP182,Alamitos energy center CCT1,Gas or Oil Plant,678.0,operating,United States,,
EP183,Al-Anbar power station CC1,Gas or Oil Plant,821.0,construction,Iraq,,
EP184,Al-Anbar power station CC2,Gas or Oil Plant,821.0,construction,Iraq,,
EP185,Alaoji power station 1,Gas or Oil Plant,124.0,operating,Nigeria,,
EP186,Alaoji power station 2,Gas or Oil Plant,124.0,operating,Nigeria,,
EP187,Alaoji power station 3,Gas or Oil Plant,124.0,operating,Nigeria,,
EP188,Alaoji power station 4,Gas or Oil Plant,124.0,operating,Nigeria,,
EP189,Alaoji power station 5,Gas or Oil Plant,286.0,construction,Nigeria,,
EP190,Alaoji power station 6,Gas or Oil Plant,286.0,construction,Nigeria,,
EP191,Al Aweer H Power and Desalination Station 1-GT1,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP192,Al Aweer H Power and Desalination Station 1-GT2,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP193,Al Aweer H Power and Desalination Station 1-GT3,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP194,Al Aweer H Power and Desalination Station 1-GT4,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP195,Al Aweer H Power and Desalination Station 1-GT5,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP196,Al Aweer H Power and Desalination Station 1-GT6,Gas or Oil Plant,101.2,operating,United Arab Emirates,,
EP197,Al Aweer H Power and Desalination Station 2-GT1,Gas or Oil Plant,140.3,operating,United Arab Emirates,,
EP198,Al Aweer H Power and Desalination Station 2-GT2,Gas or Oil Plant,140.3,operating,United Arab Emirates,,
EP199,Al Aweer H Power and Desalination Station 2-GT3,Gas or Oil Plant,140.3,operating,United Arab Emirates,,
EP200,Al Aweer H Power and Desalination Station 3-GT1,Gas or Oil Plant,242.0,operating,United Arab Emirates,,
EP201,Al Aweer H Power and Desalination Station 3-GT2,Gas or Oil Plant,242.0,operating,United Arab Emirates,,
EP202,Al Aweer H Power and Desalination Station 3-GT3,Gas or Oil Plant,242.0,operating,United Arab Emirates,,
EP203,Al Aweer H Power and Desalination Station 3-GT4,Gas or Oil Plant,242.0,operating,United Arab Emirates,,
EP204,Al Aweer H Power and Desalination Station 4-GT1,Gas or Oil Plant,271.7,construction,United Arab Emirates,,
EP205,Al Aweer H Power and Desalination Station 4-GT2,Gas or Oil Plant,271.7,construction,United Arab Emirates,,
EP206,Al Aweer H Power and Desalination Station 4-GT3,Gas or Oil Plant,271.7,construction,United Arab Emirates,,
EP207,AL Baha power plant 1,Gas or Oil Plant,81.3,operating,Saudi Arabia,,
EP208,"Alberta Sundance power station Unit 4, timepoint 2",Gas or Oil Plant,113.0,operating,Canada,,
EP209,"Alberta Sundance power station Unit 6, timepoint 2",Gas or Oil Plant,422.0,operating,Canada,,
EP210,Alcúdia power station GT1,Gas or Oil Plant,37.5,operating,Spain,,
EP211,Alcúdia power station GT2,Gas or Oil Plant,37.5,operating,Spain,,
EP212,Al Dammam power plant 1,Gas or Oil Plant,397.9,operating,Saudi Arabia,,
EP213,Al Dora Gas power plant 1,Gas or Oil Plant,37.0,operating,Iraq,,
EP214,Al Dora Gas power plant 2,Gas or Oil Plant,37.0,operating,Iraq,,
EP215,Al Dora Gas power plant 3,Gas or Oil Plant,37.0,operating,Iraq,,
EP216,Al Dora Gas power plant 4,Gas or Oil Plant,37.0,operating,Iraq,,
EP217,Al Dora power plant 1,Gas or Oil Plant,160.0,operating,Iraq,,
EP218,Al Dora power plant 2,Gas or Oil Plant,160.0,operating,Iraq,,
EP219,Al Dora power plant 3,Gas or Oil Plant,160.0,operating,Iraq,,
EP220,Al Dora power plant 4,Gas or Oil Plant,160.0,operating,Iraq,,
EP221,Al Dora power plant 5,Gas or Oil Plant,120.0,operating,Iraq,,
EP222,Al Dora power plant 6,Gas or Oil Plant,126.0,operating,Iraq,,
EP223,Al-Dur Power and Water Station 1-1,Gas or Oil Plant,613.0,operating,Bahrain,,
EP224,Al-Dur Power and Water Station 1-2,Gas or Oil Plant,613.0,operating,Bahrain,,
EP225,Al-Dur Power and Water Station 2-1,Gas or Oil Plant,750.0,operating,Bahrain,,
EP226,Al-Dur Power and Water Station 2-2,Gas or Oil Plant,750.0,operating,Bahrain,,
EP227,Al-Dur Power and Water Station 3,Gas or Oil Plant,1800.0,pre-construction,Bahrain,,
EP228,Alenakiri power plant 1,Gas or Oil Plant,120.0,operating,Gabon,,
EP229,Aleppo OCGT power plant GT,Gas or Oil Plant,30.0,operating,Syria,,
EP230,Aleppo power plant ST1,Gas or Oil Plant,213.0,operating,Syria,,
EP231,Aleppo power plant ST5,Gas or Oil Plant,213.0,operating,Syria,,
EP232,Aleppo Steam power plant ST,Gas or Oil Plant,300.0,pre-construction,Syria,,
EP233,Alexandroupolis Industrial Area power station 1,Gas or Oil Plant,840.0,construction,Greece,,
EP234,Alexin power station CC1,Gas or Oil Plant,124.0,operating,Russia,,
EP235,Al Ezzel power station CC1,Gas or Oil Plant,471.0,operating,Bahrain,,
EP236,Al Ezzel power station CC2,Gas or Oil Plant,471.0,operating,Bahrain,,
EP237,Al Faw power plant 1,Gas or Oil Plant,350.0,construction,Iraq,,
EP238,Al Faw power plant 2,Gas or Oil Plant,350.0,construction,Iraq,,
EP239,Al Faw power plant 3,Gas or Oil Plant,350.0,construction,Iraq,,
EP240,Al Faw power plant 4,Gas or Oil Plant,350.0,construction,Iraq,,
EP241,Al Faw power plant 5,Gas or Oil Plant,350.0,construction,Iraq,,
EP242,Al Faw power plant 6,Gas or Oil Plant,350.0,construction,Iraq,,
EP243,Al Faw power plant 7,Gas or Oil Plant,350.0,construction,Iraq,,
EP244,Al Faw power plant 8,Gas or Oil Plant,350.0,construction,Iraq,,
EP245,Alfredo Salazar power station PAS-2,Gas or Oil Plant,70.0,operating,Venezuela,,
EP246,Al-Fulah power station 1,Gas or Oil Plant,135.0,pre-construction,Sudan,,
EP247,Al-Fulah power station 2,Gas or Oil Plant,135.0,pre-construction,Sudan,,
EP248,Al-Fulah power station 3,Gas or Oil Plant,135.0,pre-construction,Sudan,,
EP249,Al-Fulah power station CC1,Gas or Oil Plant,470.0,announced,Sudan,,
EP250,Al-Gharraf power plant 1,Gas or Oil Plant,70.0,operating,Iraq,,
EP251,Algonquin Power Sanger power station CC1,Gas or Oil Plant,62.0,operating,United States,,
EP252,Algonquin Windsor Locks power station CC1,Gas or Oil Plant,71.0,operating,United States,,
EP253,Al Hamra Independent Power Plant 1,Gas or Oil Plant,40.0,operating,United Arab Emirates,,
EP254,Al Hamra Independent Power Plant 2,Gas or Oil Plant,60.0,operating,United Arab Emirates,,
EP255,Al-Harshiyat power station 1,Gas or Oil Plant,75.0,operating,Yemen,,
EP256,Al Hidd Power and Water Station 1,Gas or Oil Plant,987.0,operating,Bahrain,,
EP257,Al-Hiswa power station 1,Gas or Oil Plant,60.0,operating,Yemen,,
EP258,Aliabad Katoul power station 1-1,Gas or Oil Plant,162.0,operating,Iran,,
EP259,Aliabad Katoul power station 1-2,Gas or Oil Plant,162.0,operating,Iran,,
EP260,Aliabad Katoul power station 1-3,Gas or Oil Plant,162.0,operating,Iran,,
EP261,Aliabad Katoul power station 1-4,Gas or Oil Plant,162.0,operating,Iran,,
EP262,Aliabad Katoul power station 1-5,Gas or Oil Plant,162.0,operating,Iran,,
EP263,Aliabad Katoul power station 1-6,Gas or Oil Plant,162.0,operating,Iran,,
EP264,Aliabad Katoul power station 2-1,Gas or Oil Plant,160.0,construction,Iran,,
EP265,Aliabad Katoul power station 2-2,Gas or Oil Plant,160.0,construction,Iran,,
EP266,Aliabad Katoul power station 2-3,Gas or Oil Plant,160.0,construction,Iran,,
EP267,Aliaga Alosbi power station CC1,Gas or Oil Plant,68.0,operating,Türkiye,,
EP268,Aliaga Alosbi power station CC2,Gas or Oil Plant,270.0,operating,Türkiye,,
EP269,Aliaga Energy power station 1,Gas or Oil Plant,870.0,operating,Türkiye,,
EP270,Aliaga EUAS power station CC,Gas or Oil Plant,180.0,operating,Türkiye,,
EP271,Aliaga Habas power station 1,Gas or Oil Plant,240.0,operating,Türkiye,,
EP272,Aliaga Habas power station CHP,Gas or Oil Plant,54.0,operating,Türkiye,,
EP273,Ali Saba Diesal power station 1,Gas or Oil Plant,59.0,operating,Iraq,,
EP274,Aliveri power station 5,Gas or Oil Plant,417.0,operating,Greece,,
EP275,Al-Jouf power plant 1,Gas or Oil Plant,60.0,operating,Saudi Arabia,,
EP276,Al-Jouf power plant 10,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP277,Al-Jouf power plant 2,Gas or Oil Plant,60.0,operating,Saudi Arabia,,
EP278,Al-Jouf power plant 3,Gas or Oil Plant,60.0,operating,Saudi Arabia,,
EP279,Al-Jouf power plant 4,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP280,Al-Jouf power plant 5,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP281,Al-Jouf power plant 6,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP282,Al-Jouf power plant 7,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP283,Al-Jouf power plant 8,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP284,Al-Jouf power plant 9,Gas or Oil Plant,24.0,operating,Saudi Arabia,,
EP285,AL-Kahlaa power plant 1,Gas or Oil Plant,45.0,operating,Iraq,,
EP286,AL-Kahlaa power plant 2,Gas or Oil Plant,45.0,operating,Iraq,,
EP287,AL-Kahlaa power plant 3,Gas or Oil Plant,45.0,operating,Iraq,,
EP288,AL-Kahlaa power plant 4,Gas or Oil Plant,45.0,operating,Iraq,,
EP289,Al-Khairan power plant 1-1,Gas or Oil Plant,1800.0,pre-construction,Kuwait,,
EP290,Al-Khairan power plant 2-1,Gas or Oil Plant,1800.0,pre-construction,Kuwait,,
EP291,Al-Khairan power plant 3-1,Gas or Oil Plant,1800.0,pre-construction,Kuwait,,
EP292,Al-Khairat-2 power station 1-1,Gas or Oil Plant,350.0,construction,Iraq,,
EP293,Al-Khairat-2 power station 1-2,Gas or Oil Plant,350.0,construction,Iraq,,
EP294,Al-Khairat-2 power station 1-3,Gas or Oil Plant,350.0,construction,Iraq,,
EP295,Al-Khairat-2 power station 1-4,Gas or Oil Plant,350.0,construction,Iraq,,
EP296,Al-Khairat-2 power station 2-1,Gas or Oil Plant,350.0,construction,Iraq,,
EP297,Al-Khairat-2 power station 2-2,Gas or Oil Plant,350.0,construction,Iraq,,
EP298,Al-Khairat-2 power station 2-3,Gas or Oil Plant,350.0,construction,Iraq,,
EP299,Al-Khairat-2 power station 2-4,Gas or Oil Plant,350.0,construction,Iraq,,
EP300,Al-Khairat power station 1,Gas or Oil Plant,125.0,operating,Iraq,,
EP301,Al-Khairat power station 10,Gas or Oil Plant,125.0,operating,Iraq,,
EP302,Al-Khairat power station 2,Gas or Oil Plant,125.0,operating,Iraq,,
EP303,Al-Khairat power station 3,Gas or Oil Plant,125.0,operating,Iraq,,
EP304,Al-Khairat power station 4,Gas or Oil Plant,125.0,operating,Iraq,,
EP305,Al-Khairat power station 5,Gas or Oil Plant,125.0,operating,Iraq,,
EP306,Al-Khairat power station 6,Gas or Oil Plant,125.0,operating,Iraq,,
EP307,Al-Khairat power station 7,Gas or Oil Plant,125.0,operating,Iraq,,
EP308,Al-Khairat power station 8,Gas or Oil Plant,125.0,operating,Iraq,,
EP309,Al-Khairat power station 9,Gas or Oil Plant,125.0,operating,Iraq,,
EP310,Al-Khairat power station ST,Gas or Oil Plant,625.0,pre-construction,Iraq,,
EP311,Al Khalil power plant 1,Gas or Oil Plant,80.0,announced,Palestine,,
EP312,Al Khalil power plant 2,Gas or Oil Plant,90.0,announced,Palestine,,
EP313,Alkhobar power plant 2-1,Gas or Oil Plant,142.0,operating,Saudi Arabia,,
EP314,Alkhobar power plant 2-2,Gas or Oil Plant,142.0,operating,Saudi Arabia,,
EP315,Alkhobar power plant 2-3,Gas or Oil Plant,142.0,operating,Saudi Arabia,,
EP316,Alkhobar power plant 2-4,Gas or Oil Plant,142.0,operating,Saudi Arabia,,
EP317,Alkhobar power plant 2-5,Gas or Oil Plant,142.0,operating,Saudi Arabia,,
EP318,Alkhobar power plant 3-1,Gas or Oil Plant,120.0,operating,Saudi Arabia,,
EP319,Alkhobar power plant 3-2,Gas or Oil Plant,120.0,operating,Saudi Arabia,,
EP320,Alkhobar power plant 3-3,Gas or Oil Plant,120.0,operating,Saudi Arabia,,
EP321,Alkhobar power plant 3-4,Gas or Oil Plant,120.0,operating,Saudi Arabia,,
EP322,Al Khums power station 1-1,Gas or Oil Plant,120.0,operating,Libya,,
